Keyword,Cluster,Sous-Cluster,Intent,Volume,Trend,KD,CPC_EUR,Updated,Priorite_SEO
kwh cumac,CEE & Aides,Kwh cumac,Informational,260,stable,19,0.32,1 month,Tier 2 - Quick win
simulateur prime cee,CEE & Aides,Simulateur,Commercial,260,stable,27,2.24,3 weeks,Tier 2 - High CPC
prime cee entreprise,CEE & Aides,Entreprise,Commercial,210,stable,40,1.20,3 weeks,Tier 2
fiche cee tertiaire,CEE & Aides,Fiches CEE,Informational,140,stable,21,1.37,1 month,Tier 3
montant prime cee,CEE & Aides,Calcul,Informational,140,stable,41,1.41,3 weeks,Tier 3
panneaux solaires entreprise,Photovoltaïque,B2B,Commercial,140,stable,56,4.14,1 month,Tier 3 - High CPC
photovoltaïque entreprise,Photovoltaïque,B2B,Commercial,140,stable,42,2.65,1 month,Tier 3 - High CPC
photovoltaïque professionnel,Photovoltaïque,B2B,Commercial,140,stable,37,3.91,3 weeks,Tier 3 - High CPC
prix kwh cumac,CEE & Aides,Kwh cumac,Informational,140,stable,19,0.31,1 month,Tier 3 - Quick win
autoconsommation solaire entreprise,Photovoltaïque,Autoconsommation,Informational,110,stable,25,0.00,1 month,Tier 3
prime cee professionnel,CEE & Aides,Entreprise,Informational,110,stable,34,1.26,1 month,Tier 3
fiche cee industrie,CEE & Aides,Fiches CEE,Informational,90,stable,25,0.67,2 weeks,Tier 3
ventilation serre,Serre Agricole,Ventilation,Informational,90,stable,10,0.25,1 month,Tier 3 - Quick win
ind-ut-134,CEE & Aides,Fiches CEE,Informational,70,stable,18,0.00,3 weeks,Tier 3 - Niche
prime cee agriculture,CEE & Aides,Agriculture,Informational,70,stable,22,0.94,1 month,Tier 3
prime cee collectivité,CEE & Aides,Collectivité,n/a,70,n/a,n/a,3.13,n/a,Tier 3 - High CPC
prime cee tertiaire,CEE & Aides,Tertiaire,Informational,70,stable,19,1.64,1 month,Tier 3
fonctionnement cee,CEE & Aides,Fonctionnement,Informational/Transactional,50,stable,31,0.65,2 weeks,Tier 3
obligé cee,CEE & Aides,Obligés,Informational,50,stable,20,1.30,1 month,Tier 3
prime cee industrie,CEE & Aides,Industrie,Informational,50,stable,15,1.44,2 weeks,Tier 3 - Quick win
rentabilité photovoltaïque,Photovoltaïque,Rentabilité,n/a,50,n/a,n/a,1.65,n/a,Tier 3
kwhc,CEE & Aides,Kwh cumac,n/a,40,n/a,n/a,0.00,n/a,Tier 4
photovoltaïque tertiaire,Photovoltaïque,Tertiaire,n/a,40,n/a,n/a,0.00,n/a,Tier 4
séchage industriel,Process,Séchage,n/a,40,n/a,n/a,1.52,n/a,Tier 4
fiche cee agriculture,CEE & Aides,Fiches CEE,n/a,30,n/a,n/a,0.00,n/a,Tier 4
fiche opération standardisée,CEE & Aides,Fiches CEE,n/a,30,n/a,n/a,0.00,n/a,Tier 4
monter un dossier cee,CEE & Aides,Dossier,n/a,30,n/a,n/a,1.27,n/a,Tier 4
prix photovoltaïque entreprise,Photovoltaïque,Prix,n/a,30,n/a,n/a,0.00,n/a,Tier 4
calcul kwh cumac,CEE & Aides,Kwh cumac,n/a,20,n/a,n/a,0.00,n/a,Tier 4
cee 6ème période,CEE & Aides,6ème période,n/a,20,n/a,n/a,0.00,n/a,Tier 4
comment obtenir prime cee,CEE & Aides,Comment,n/a,20,n/a,n/a,1.42,n/a,Tier 4
photovoltaïque industriel,Photovoltaïque,Industriel,n/a,20,n/a,n/a,1.78,n/a,Tier 4 - High CPC
pré-refroidisseur lait,Agricole,Lait,n/a,20,n/a,n/a,0.00,n/a,Tier 4
qui sont les obligés cee,CEE & Aides,Obligés,n/a,20,n/a,n/a,0.00,n/a,Tier 4
écran thermique serre,Serre Agricole,Écran thermique,n/a,20,n/a,n/a,0.58,n/a,Tier 4
6e période cee,CEE & Aides,6ème période,n/a,10,n/a,n/a,0.00,n/a,Tier 5
certificats économies énergie,CEE & Aides,Générique,n/a,10,n/a,n/a,1.31,n/a,Tier 5
optimisation process industriel,Process,Optimisation,n/a,10,n/a,n/a,0.00,n/a,Tier 5
réglementation cee,CEE & Aides,Réglementation,n/a,10,n/a,n/a,0.73,n/a,Tier 5
edf pro,Courtage Énergie,Fournisseur,Navigational/Transactional,60500,stable,51,1.18,2 weeks,Tier 1 - Brand
engie pro,Courtage Énergie,Fournisseur,Navigational,60500,stable,40,1.32,2 weeks,Tier 1 - Brand
borne de recharge,IRVE,Générique,Commercial,22200,stable,41,1.06,3 weeks,Tier 1 - Pilier
irve,IRVE,Générique,Informational,6600,stable,37,1.13,2 weeks,Tier 1 - Pilier
borne recharge,IRVE,Générique,Commercial,2900,stable,33,1.11,2 weeks,Tier 1
turpe,Courtage Énergie,TURPE,Informational,2400,stable,37,0.90,2 weeks,Tier 1
eni pro,Courtage Énergie,Fournisseur,Transactional,1600,stable,15,4.15,1 month,Tier 1 - Brand High CPC
ticfe,Courtage Énergie,Taxes,Commercial,1300,stable,19,0.59,1 month,Tier 1 - Quick win
pce gaz,Courtage Énergie,Gaz,Informational,1000,stable,32,2.62,1 month,Tier 2 - High CPC
accise électricité,Courtage Énergie,Taxes,Informational,720,stable,27,0.75,1 month,Tier 2
borne de recharge entreprise,IRVE,B2B,Informational,720,stable,24,3.71,1 month,Tier 2 - High CPC
courtier energie,Courtage Énergie,Courtier,Commercial,720,stable,37,4.09,4 weeks,Tier 2 - High CPC
totalenergies pro,Courtage Énergie,Fournisseur,Navigational,720,stable,34,2.37,1 month,Tier 2 - Brand
borne de recharge copropriété,IRVE,Copropriété,Commercial,590,stable,29,1.27,1 month,Tier 2
borne recharge rapide,IRVE,Rapide,Commercial,590,stable,32,0.60,1 month,Tier 2
courtier énergie,Courtage Énergie,Courtier,Commercial,480,stable,30,4.09,3 weeks,Tier 2 - High CPC
délégataire cee,CEE & Aides,Délégataire,Informational,390,stable,11,1.54,2 weeks,Tier 2 - Quick win
power purchase agreement,Courtage Énergie,PPA,Informational,390,stable,25,0.86,1 month,Tier 2
fonds chaleur ademe,CEE & Aides,Fonds Chaleur,Navigational/Transactional,320,stable,42,0.74,1 month,Tier 2
fournisseur électricité professionnel,Courtage Énergie,Fournisseur,Commercial,320,stable,46,21.86,1 month,Tier 2 - Très High CPC
mandataire cee,CEE & Aides,Mandataire,Informational,320,stable,13,1.59,1 month,Tier 2 - Quick win
puissance souscrite,Courtage Énergie,Puissance,Informational,320,stable,20,0.80,2 weeks,Tier 2
fournisseur gaz professionnel,Courtage Énergie,Fournisseur,Commercial,260,stable,21,13.99,1 month,Tier 2 - Très High CPC
achat groupé énergie,Courtage Énergie,Achat groupé,Transactional,210,stable,35,3.04,1 month,Tier 2 - High CPC
installation borne recharge,IRVE,Installation,Informational,210,stable,30,1.87,1 month,Tier 2
installation irve,IRVE,Installation,Informational,210,stable,25,1.15,1 month,Tier 2
pdl électricité,Courtage Énergie,PDL,Informational,210,stable,16,2.91,1 month,Tier 2 - High CPC
courtage énergie,Courtage Énergie,Courtage,Commercial,170,stable,32,0.00,1 month,Tier 3
borne recharge 22kw,IRVE,22kw,Navigational,110,stable,30,0.93,1 month,Tier 3
borne recharge entreprise,IRVE,B2B,Informational,110,stable,31,3.74,2 weeks,Tier 3 - High CPC
borne de recharge parking,IRVE,Parking,Commercial,70,stable,n/a,1.35,1 month,Tier 3
borne recharge dc,IRVE,DC,Informational,50,stable,14,1.46,1 month,Tier 3
contrat gaz entreprise,Courtage Énergie,Contrat,n/a,50,n/a,n/a,20.48,n/a,Tier 3 - Très High CPC
contrat électricité entreprise,Courtage Énergie,Contrat,n/a,50,n/a,n/a,17.06,n/a,Tier 3 - Très High CPC
courtier électricité professionnel,Courtage Énergie,Courtier,Commercial,50,stable,43,19.18,1 month,Tier 3 - Très High CPC
prix gaz professionnel,Courtage Énergie,Prix,Transactional,50,stable,23,4.78,1 month,Tier 3 - High CPC
prix électricité professionnel,Courtage Énergie,Prix,Transactional,50,stable,26,7.74,1 month,Tier 3 - High CPC
tarif électricité entreprise,Courtage Énergie,Prix,n/a,50,n/a,n/a,6.90,n/a,Tier 3 - High CPC
énergie verte entreprise,Courtage Énergie,Énergie verte,Commercial,50,stable,47,6.27,2 weeks,Tier 3 - High CPC
contrat énergie professionnel,Courtage Énergie,Contrat,n/a,40,n/a,n/a,10.84,n/a,Tier 4 - Très High CPC
garantie origine,Courtage Énergie,Énergie verte,n/a,40,n/a,n/a,0.67,n/a,Tier 4
tarif gaz entreprise,Courtage Énergie,Prix,n/a,40,n/a,n/a,7.29,n/a,Tier 4 - High CPC
borne de recharge camping,IRVE,Camping,n/a,30,n/a,n/a,0.00,n/a,Tier 4
courtage gaz,Courtage Énergie,Gaz,n/a,30,n/a,n/a,4.54,n/a,Tier 4 - High CPC
fonds chaleur 2025,CEE & Aides,Fonds Chaleur,n/a,30,n/a,n/a,0.00,n/a,Tier 4
aide ademe entreprise,CEE & Aides,ADEME,n/a,20,n/a,n/a,1.01,n/a,Tier 4
borne recharge copropriete,IRVE,Copropriété,n/a,20,n/a,n/a,1.22,n/a,Tier 4
courtage électricité,Courtage Énergie,Courtage,n/a,20,n/a,n/a,5.20,n/a,Tier 4 - High CPC
ppa entreprise,Courtage Énergie,PPA,n/a,20,n/a,n/a,0.00,n/a,Tier 4
décret tertiaire,Réglementation,Décret Tertiaire,Informational,5400,stable,55,0.67,2 weeks,Tier 1 - Pilier
iso 50001,Réglementation,ISO 50001,Commercial,3600,stable,43,0.74,2 weeks,Tier 1 - Pilier
performance énergétique,Performance Énergétique,Générique,Informational,2900,stable,44,1.20,2 weeks,Tier 1 - Pilier
advenir,IRVE,ADVENIR,Navigational,2400,stable,44,0.41,2 weeks,Tier 1 - Brand
efficacité énergétique,Performance Énergétique,Générique,Informational,2400,stable,44,1.27,2 weeks,Tier 1 - Pilier
beges,Réglementation,BEGES,Informational,1900,stable,27,1.77,1 month,Tier 1 - Quick win
bilan carbone entreprise,Réglementation,Bilan Carbone,Commercial,1300,stable,42,5.19,1 month,Tier 1 - High CPC
taxonomie verte,Réglementation,Taxonomie,Informational,880,stable,32,1.50,1 month,Tier 2
prime advenir,IRVE,ADVENIR,Navigational,720,stable,34,0.44,1 month,Tier 2 - Brand
installateur irve,IRVE,Installateur,Commercial,590,stable,27,1.45,1 month,Tier 2 - Conversion
norme iso 50001,Réglementation,ISO 50001,Informational,480,stable,31,0.72,1 month,Tier 2
plateforme operat,Réglementation,OPERAT,Navigational,480,stable,29,0.95,1 month,Tier 2 - Quick win
diagnostic énergétique gratuit,Audit Énergétique,Diagnostic,Informational,390,stable,29,0.81,1 month,Tier 2 - Conversion
décarbonation industrie,Décarbonation,Industrie,Informational,390,stable,20,1.24,1 month,Tier 2 - Quick win
décret bacs gtb,GTB/GTC,Décret BACS,Informational,320,stable,22,0.97,1 month,Tier 2 - Quick win
qualification irve,IRVE,Qualification,Commercial,320,stable,29,0.61,3 weeks,Tier 2
transition énergétique entreprise,Performance Énergétique,Transition,Informational,320,stable,34,1.36,1 month,Tier 2
décret tertiaire objectifs,Réglementation,Décret Tertiaire,Informational,210,stable,26,0.60,1 month,Tier 2 - Quick win
efficacité énergétique entreprise,Performance Énergétique,B2B,Informational,140,stable,26,2.52,1 month,Tier 3 - High CPC
performance énergétique bâtiment,Performance Énergétique,Bâtiment,Informational,140,stable,32,0.85,1 month,Tier 3
réduction consommation énergie,Performance Énergétique,Réduction,Informational,140,stable,37,1.37,1 month,Tier 3
sobriété énergétique entreprise,Performance Énergétique,Sobriété,Informational,140,stable,29,0.00,3 weeks,Tier 3
bilan ges entreprise,Réglementation,BEGES,Commercial,110,stable,28,3.93,3 weeks,Tier 3 - High CPC
décret tertiaire 2025,Réglementation,Décret Tertiaire,Informational,90,stable,32,0.75,1 month,Tier 3
borne recharge solaire,IRVE,Solaire,Commercial,70,stable,18,0.90,1 month,Tier 3 - Quick win
économie énergie entreprise,Performance Énergétique,Économie,Informational,70,stable,n/a,2.16,1 month,Tier 3 - High CPC
décarbonation bâtiment,Décarbonation,Bâtiment,Informational,50,stable,24,0.94,2 weeks,Tier 3
obligation décret tertiaire,Réglementation,Décret Tertiaire,Informational/Commercial,50,stable,28,0.60,1 month,Tier 3
système management énergie,Réglementation,ISO 50001,n/a,50,n/a,n/a,0.00,n/a,Tier 3
décret tertiaire copropriété,Réglementation,Décret Tertiaire,n/a,40,n/a,n/a,0.91,n/a,Tier 4
échéance décret tertiaire,Réglementation,Décret Tertiaire,n/a,40,n/a,n/a,0.00,n/a,Tier 4
décret tertiaire sanctions,Réglementation,Décret Tertiaire,n/a,30,n/a,n/a,0.00,n/a,Tier 4
expert cee,CEE & Aides,Expert,n/a,30,n/a,n/a,1.27,n/a,Tier 4 - Conversion
énergie renouvelable entreprise,Performance Énergétique,ENR,n/a,30,n/a,n/a,1.94,n/a,Tier 4
amélioration performance énergétique,Performance Énergétique,Amélioration,n/a,20,n/a,n/a,1.22,n/a,Tier 4
bureau études énergie,Performance Énergétique,Bureau études,n/a,20,n/a,n/a,1.42,n/a,Tier 4 - Conversion
cout installation borne recharge,IRVE,Prix,n/a,20,n/a,n/a,0.66,n/a,Tier 4
performance énergétique industrielle,Performance Énergétique,Industrielle,n/a,20,n/a,n/a,2.41,n/a,Tier 4 - High CPC
plan performance énergétique,Performance Énergétique,Plan,n/a,20,n/a,n/a,0.00,n/a,Tier 4
subvention borne recharge,IRVE,Aides,n/a,20,n/a,n/a,0.00,n/a,Tier 4
subvention efficacité énergétique,Performance Énergétique,Aides,n/a,20,n/a,n/a,0.00,n/a,Tier 4
accompagnement cee,CEE & Aides,Accompagnement,n/a,10,n/a,n/a,0.00,n/a,Tier 5
expert performance énergétique,Performance Énergétique,Expert,n/a,10,n/a,n/a,0.00,n/a,Tier 5 - Conversion
comment réduire consommation énergie,Performance Énergétique,Réduction,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
financement borne recharge,IRVE,Aides,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
financement travaux énergie,Performance Énergétique,Aides,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
obligation décret bacs,GTB/GTC,Décret BACS,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
économie énergie tertiaire,Performance Énergétique,Tertiaire,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
